Year,First place,Second place,Third place
1993,Germany,Italy,Brazil
1994,Brazil,Spain,Sweden
1995,Brazil,Germany,Italy
1996,Brazil,Germany,France
1997,Brazil,Germany,Czech Republic
1998,Brazil,France,Germany
1999,Brazil,Czech Republic,France
2000,Brazil,France,Argentina
2001,France,Argentina,Brazil
2002,Brazil,France,Spain
2003,Brazil,France,Spain
2004,Brazil,France,Argentina
2005,Brazil,Czech Republic,Netherlands
2006,Brazil,Italy,Argentina
2007,Argentina,Brazil,Italy
2008,Spain,Germany,Netherlands
2009,Spain,Brazil,Netherlands
2010,Spain,Netherlands,Germany
2011,Spain,Netherlands,Germany
2012,Spain,Germany,Argentina
2013,Spain,Germany,Argentina
2014,Germany,Argentina,Colombia
2015,Belgium,Argentina,Spain
2016,Argentina,Brazil,Germany